model,name,confidence,error_x1,error_x2
first,grass,0.737636,1.5,5.0
first,flint,0.719104,1.0,3.0
first,sapling,0.88414,0.5,-2.0
first,tree_evergreen_3,0.874273,2.0,5.0
first,berry_bush,0.860986,1.5,-2.0
first,sapling,0.843641,-0.5,0.0
first,grass,0.839199,1.5,1.0
first,tree_evergreen_1,0.838227,2.5,-1.0
first,tree_evergreen_1,0.829578,0.5,-1.0
first,tree_evergreen_1,0.820736,3.5,5.0
first,flint,0.819429,-2.0,1.0
first,wilson,0.813248,-0.5,-1.0
first,flint,0.779756,1.0,-1.0
first,carrot_planted,0.778472,-1.0,2.0
first,flint,0.681401,1.0,5.0
first,sapling,0.858051,1.5,1.0
first,tree_evergreen_1,0.841909,-4.0,1.0
first,tree_evergreen_1,0.835917,-1.5,-1.0
first,grass,0.835772,3.5,1.0
first,flint,0.829006,-1.5,1.0
first,tree_evergreen_1,0.821344,0.5,1.0
first,berry_bush,0.820747,3.0,0.0
first,tree_evergreen_2,0.818975,-3.5,4.0
first,carrot_planted,0.814004,0.5,3.0
first,carrot_planted,0.808408,-2.5,4.0
first,wilson,0.796069,2.5,4.0
first,flint,0.78012,-2.5,5.0
first,flint,0.77506,-3.0,-1.0
first,flint,0.763664,-1.5,4.0
first,grass_picked,0.742765,0.0,0.0
first,tree_evergreen_1,0.845904,-0.5,-1.0
first,tree_evergreen_1,0.84451,0.0,2.0
first,carrot_planted,0.838774,-1.0,3.0
first,tree_evergreen_2,0.837295,-1.5,6.0
first,berry_bush,0.814027,4.0,-1.0
first,sapling,0.799098,6.5,-8.0
first,flint,0.797155,1.5,7.0
first,sapling_picked,0.790415,-0.5,5.0
first,flint,0.788216,1.0,1.0
first,flint,0.765426,-1.0,0.0
first,grass_picked,0.750437,-0.5,-3.0
first,carrot_planted,0.739846,2.5,2.0
first,grass_picked,0.739824,0.5,4.0
first,berry_bush_harvested,0.860866,3.5,-2.0
first,tree_evergreen_1,0.843176,0.0,1.0
first,tree_evergreen_1,0.839455,3.5,-6.0
first,tree_evergreen_2,0.836345,0.0,4.0
first,flint,0.836317,-3.0,-4.0
first,wilson,0.827047,0.5,3.0
first,tree_evergreen_1,0.825932,-3.0,0.0
first,carrot_planted,0.809199,1.0,5.0
first,sapling_picked,0.79805,2.0,1.0
first,flint,0.779113,-2.0,1.0
first,grass_picked,0.775851,-2.0,1.0
first,flint,0.768818,0.5,0.0
first,grass_picked,0.768229,-2.0,4.0
first,carrot_planted,0.767568,-1.0,0.0
first,sapling,0.864457,3.0,1.0
first,tree_evergreen_1,0.850648,0.0,3.0
first,tree_evergreen_2,0.833576,-2.0,4.0
first,tree_evergreen_2,0.8295,-1.5,-7.0
first,tree_evergreen_3,0.828596,3.5,0.0
first,sapling_picked,0.814658,2.0,-4.0
first,carrot_planted,0.812349,0.5,0.0
first,wilson,0.803181,-2.0,-3.0
first,tree_evergreen_1,0.800804,1.5,1.0
first,flint,0.778277,1.0,1.0
first,grass_picked,0.756556,-1.5,-6.0
first,carrot_planted,0.63415,0.0,-1.0
first,berry_bush_harvested,0.886408,2.0,-1.0
first,carrot_planted,0.861175,0.5,2.0
first,tree_evergreen_1,0.846509,2.0,-2.0
first,tree_evergreen_1,0.838164,0.5,-5.0
first,tree_evergreen_2,0.830205,-3.5,2.0
first,carrot_planted,0.822281,2.5,4.0
first,tree_evergreen_2,0.81841,1.0,-8.0
first,sapling_picked,0.805126,2.5,-1.0
first,sapling_picked,0.802121,-0.5,1.0
first,wilson,0.784929,-4.5,-1.0
first,grass_picked,0.784484,-2.0,4.0
first,berry_bush_harvested,0.861998,2.0,0.0
first,tree_evergreen_1,0.835645,-0.5,-1.0
first,tree_evergreen_2,0.833252,2.5,-4.0
first,tree_evergreen_2,0.831636,0.5,10.0
first,tree_evergreen_1,0.817448,-2.0,2.0
first,carrot_planted,0.800669,0.5,2.0
first,wilson,0.789637,-3.5,-8.0
first,sapling_picked,0.786395,2.5,4.0
first,grass_picked,0.786237,-0.5,1.0
first,sapling_picked,0.781738,2.5,10.0
first,carrot_planted,0.781456,1.0,6.0
first,tree_evergreen_1,0.841505,-0.5,-1.0
first,tree_evergreen_1,0.834781,-4.0,-1.0
first,tree_evergreen_1,0.834157,1.0,2.0
first,carrot_planted,0.824555,-2.0,5.0
first,wilson,0.818523,1.5,-6.0
first,carrot_planted,0.799088,-1.5,2.0
first,grass_picked,0.791894,-2.0,8.0
first,sapling_picked,0.789541,-0.5,-3.0
first,tree_evergreen_2,0.783495,5.0,1.0
first,sapling_picked,0.409832,-2.0,2.0
first,grass_picked,0.187452,-8.0,5.0
first,tree_evergreen_1,0.839798,1.0,-1.0
first,tree_evergreen_1,0.836145,-4.5,2.0
first,tree_evergreen_1,0.830437,-4.0,6.0
first,carrot_planted,0.80703,-1.0,2.0
first,carrot_planted,0.800675,0.5,5.0
first,grass_picked,0.781516,-2.5,2.0
first,sapling_picked,0.780057,-0.5,1.0
first,grass_picked,0.761321,0.0,4.0
first,sapling_picked,0.718625,4.5,5.0
first,grass,0.88056,1.0,1.0
first,grass,0.876226,1.0,1.0
first,grass,0.876208,1.5,0.0
first,grass,0.867475,0.5,3.0
first,grass,0.866916,1.5,3.0
first,wilson,0.829602,0.0,7.0
first,hound,0.815002,0.0,4.0
first,hound,0.812597,-2.0,2.0
first,spider,0.767327,0.5,-1.0
first,spider,0.614558,2.5,-3.0
first,grass,0.886801,0.5,0.0
first,grass,0.881718,2.0,1.0
first,grass,0.877873,1.5,0.0
first,grass,0.876549,1.5,4.0
first,grass,0.871291,1.5,0.0
first,hound,0.856584,3.0,3.0
first,hound,0.820816,-2.5,-1.0
first,wilson,0.810151,0.5,0.0
first,spider,0.751906,2.0,1.0
first,spider,0.74876,-1.0,0.0
first,tree_evergreen_3,0.873379,-4.0,2.0
first,grass,0.854356,2.5,2.0
first,tree_evergreen_1,0.85207,-1.5,-4.0
first,grass,0.825558,1.5,3.0
first,carrot_planted,0.806466,1.0,-1.0
first,wilson,0.801563,0.5,6.0
first,grass_picked,0.751036,2.0,2.0
first,carrot_planted,0.716616,-2.5,0.0
first,carrot_planted,0.679351,1.0,2.0
first,flint,0.360438,3.0,-5.0
first,grass,0.886744,-0.5,3.0
first,grass,0.873319,1.0,3.0
first,grass,0.869644,2.0,1.0
first,grass,0.86857,1.5,0.0
first,hound,0.843667,4.5,-1.0
first,wilson,0.836738,1.5,1.0
first,spider,0.823267,3.5,3.0
first,hound,0.79755,2.5,4.0
first,grass,0.785041,2.5,3.0
first,spider,0.780928,1.5,1.0
first,tree_evergreen_3,0.860668,-0.5,2.0
first,tree_evergreen_1,0.851818,-4.0,1.0
first,grass,0.849635,0.5,1.0
first,carrot_planted,0.840961,1.5,1.0
first,wilson,0.831813,-1.0,1.0
first,grass,0.828432,-0.5,0.0
first,carrot_planted,0.803913,1.5,3.0
first,grass_picked,0.762059,2.5,2.0
first,carrot_planted,0.518081,1.5,1.0
first,berry_bush_harvested,0.89311,2.0,2.0
first,tree_evergreen_1,0.844809,1.5,2.0
first,grass,0.838539,0.5,1.0
first,carrot_planted,0.827972,2.0,0.0
first,wilson,0.820227,-1.0,-1.0
first,tree_evergreen_3,0.806713,-2.5,4.0
first,carrot_planted,0.801108,2.0,1.0
first,grass,0.743655,1.5,2.0
first,carrot_planted,0.722158,2.0,6.0
first,grass_picked,0.721266,0.5,0.0
first,grass,0.876671,3.0,3.0
first,grass,0.873753,1.5,1.0
first,grass,0.868964,0.5,1.0
first,wilson,0.810935,2.5,-1.0
first,spider,0.787996,2.5,-1.0
first,hound,0.769599,-8.5,2.0
first,hound,0.747763,2.0,-4.0
first,spider,0.731205,-0.5,4.0
first,grass,0.649213,6.0,-4.0
first,berry_bush_harvested,0.884809,1.5,-2.0
first,grass,0.849164,-0.5,1.0
first,wilson,0.744538,0.5,4.0
first,grass_picked,0.739216,2.0,-1.0
first,carrot_planted,0.659439,0.0,1.0
first,berry_bush_harvested,0.869469,4.0,1.0
first,grass,0.845628,2.0,1.0
first,tree_evergreen_1,0.837337,-4.0,13.0
first,carrot_planted,0.826839,0.5,2.0
first,carrot_planted,0.81695,1.5,1.0
first,wilson,0.790021,4.0,5.0
first,sapling,0.855908,2.5,2.0
first,sapling,0.852994,0.5,4.0
first,tree_evergreen_1,0.850735,-0.5,-3.0
first,tree_evergreen_1,0.843686,1.5,7.0
first,tree_evergreen_1,0.842747,2.0,0.0
first,tree_evergreen_2,0.838612,2.5,0.0
first,berry_bush,0.836456,1.0,1.0
first,sapling,0.828993,0.5,1.0
first,tree_evergreen_1,0.828857,-0.5,3.0
first,grass,0.827103,0.0,2.0
first,tree_evergreen_2,0.826314,-0.5,-1.0
first,grass,0.786783,-0.5,0.0
first,sapling,0.884152,2.5,2.0
first,grass,0.858111,0.5,1.0
first,tree_evergreen_3,0.857521,1.0,-4.0
first,grass,0.84802,1.5,4.0
first,sapling,0.845415,1.5,5.0
first,tree_evergreen_2,0.842115,-2.5,-1.0
first,grass,0.837232,2.0,1.0
first,grass,0.830472,1.5,1.0
first,tree_evergreen_1,0.825625,-3.5,-3.0
first,grass,0.822578,2.0,0.0
first,wilson,0.814651,0.0,2.0
first,tree_evergreen_2,0.807717,-1.0,0.0
first,tree_evergreen_3,0.745332,2.0,0.0
first,tree_evergreen_1,0.733694,-2.0,1.0
first,sapling,0.884134,0.0,1.0
first,sapling,0.876935,2.5,2.0
first,tree_evergreen_3,0.865815,1.0,1.0
first,tree_evergreen_3,0.863186,2.0,6.0
first,grass,0.862018,1.5,1.0
first,grass,0.860801,0.5,2.0
first,tree_evergreen_1,0.854141,4.5,4.0
first,tree_evergreen_2,0.843732,-0.5,11.0
first,grass,0.836098,1.5,1.0
first,grass,0.836092,0.5,2.0
first,grass,0.82707,1.5,3.0
first,tree_evergreen_2,0.741036,-0.5,4.0
first,wilson,0.729633,0.0,5.0
first,sapling,0.885405,2.0,3.0
first,sapling,0.876817,1.0,-1.0
first,tree_evergreen_3,0.87641,6.0,1.0
first,tree_evergreen_3,0.86429,-1.0,-7.0
first,grass,0.857757,-1.0,-1.0
first,grass,0.85211,1.0,1.0
first,grass,0.844744,0.5,-1.0
first,tree_evergreen_2,0.838265,4.0,-4.0
first,tree_evergreen_1,0.833233,-0.5,0.0
first,grass,0.82101,3.0,-2.0
first,grass,0.815952,-0.5,2.0
first,wilson,0.734139,-15.5,-4.0
first,tree_evergreen_3,0.882531,3.5,-3.0
first,tree_evergreen_3,0.866163,-3.0,11.0
first,berry_bush_harvested,0.865527,1.5,0.0
first,grass,0.85771,0.5,2.0
first,grass,0.847354,-0.5,3.0
first,tree_evergreen_2,0.847059,0.0,-7.0
first,tree_evergreen_1,0.84252,0.0,-4.0
first,tree_evergreen_3,0.834391,-1.5,6.0
first,grass,0.834154,1.0,2.0
first,sapling,0.834039,1.5,4.0
first,sapling,0.825946,2.0,6.0
first,grass,0.784471,1.5,-1.0
first,tree_evergreen_3,0.877142,-3.0,-3.0
first,tree_evergreen_3,0.868582,-1.5,7.0
first,tree_evergreen_3,0.862779,-4.5,-6.0
first,grass,0.847814,2.5,0.0
first,sapling,0.839323,-1.0,3.0
first,wilson,0.816429,3.5,-2.0
first,sapling_picked,0.813938,1.0,3.0
first,grass,0.807135,1.5,-1.0
first,tree_evergreen_2,0.80081,1.0,6.0
first,tree_evergreen_3,0.886948,0.0,2.0
first,tree_evergreen_3,0.873353,4.5,6.0
first,sapling,0.863815,-1.0,-1.0
first,tree_evergreen_3,0.854391,-5.5,-6.0
first,grass,0.8396,2.0,-1.0
first,grass,0.821693,2.0,2.0
first,sapling_picked,0.797972,2.0,3.0
first,wilson,0.792241,0.0,-4.0
first,tree_evergreen_2,0.78986,0.0,-3.0
first,grass_picked,0.770343,1.0,3.0
first,grass,0.87172,0.5,0.0
first,tree_evergreen_3,0.866199,1.5,-7.0
first,tree_evergreen_3,0.851743,3.0,2.0
first,grass,0.849735,0.5,1.0
first,tree_evergreen_3,0.841625,-3.5,5.0
first,tree_evergreen_2,0.839592,1.5,2.0
first,tree_evergreen_1,0.832917,1.5,-4.0
first,tree_evergreen_2,0.824992,4.5,2.0
first,grass,0.820894,0.0,2.0
first,sapling_picked,0.802198,0.5,4.0
first,sapling_picked,0.787502,1.5,1.0
first,grass_picked,0.761211,1.0,3.0
first,grass_picked,0.140036,1.5,-1.0
first,grass,0.871993,0.5,0.0
first,tree_evergreen_3,0.867571,2.0,-1.0
first,tree_evergreen_3,0.857696,-0.5,6.0
first,tree_evergreen_3,0.854156,1.0,8.0
first,grass,0.847798,1.5,-2.0
first,tree_evergreen_2,0.847476,0.5,-1.0
first,tree_evergreen_1,0.845911,-3.0,1.0
first,tree_evergreen_2,0.825261,3.0,2.0
first,wilson,0.806201,-2.0,4.0
first,sapling_picked,0.805311,2.5,4.0
first,grass,0.798154,0.5,2.0
first,sapling_picked,0.788901,1.5,2.0
first,grass_picked,0.73725,1.5,4.0
first,grass_picked,0.620356,1.5,5.0
first,berry_bush_harvested,0.881327,0.5,-1.0
first,grass,0.855822,0.5,1.0
first,tree_evergreen_1,0.847731,1.5,-3.0
first,tree_evergreen_2,0.841311,2.5,1.0
first,tree_evergreen_1,0.831867,1.0,3.0
first,tree_evergreen_1,0.827058,-2.5,8.0
first,tree_evergreen_3,0.826513,-0.5,-5.0
first,tree_evergreen_2,0.818926,0.5,-4.0
