seed,num_landmarks,trajectory_name,u_noise,h_noise,player_mse,lm_mse
445,150,spiral_1,"[1, 1]","[2.0, 3.0]",0.01056597402017396,0.02265524754457965
445,150,spiral_1,"[1, 1]","[20.0, 25.0]",0.31981079276800994,2.4175900685394747
445,150,spiral_1,"[1, 1]","[40.0, 50.0]",4.278436298904893,13.833311983200566
445,150,spiral_1,"[2, 2]","[2.0, 3.0]",0.1672625120369672,0.16548927747572767
445,150,spiral_1,"[2, 2]","[20.0, 25.0]",0.6337754371724815,3.194872369203914
445,150,spiral_1,"[2, 2]","[40.0, 50.0]",6.051885931321186,13.443647533361192
445,150,spiral_2,"[0.1, 0.1]","[2.0, 3.0]",0.001196858293578818,0.0188264830563689
445,150,spiral_2,"[0.1, 0.1]","[20.0, 25.0]",0.06407899492678129,2.2229798162718746
445,150,spiral_2,"[0.1, 0.1]","[40.0, 50.0]",0.016399859484254826,11.505926740870638
445,150,spiral_2,"[0.5, 0.5]","[2.0, 3.0]",0.007242288155645457,0.02276200059247499
445,150,spiral_2,"[0.5, 0.5]","[20.0, 25.0]",0.06066291825067459,2.3490050984839974
445,150,spiral_2,"[0.5, 0.5]","[40.0, 50.0]",0.32837097110543934,13.26702947894925
445,150,spiral_2,"[1, 1]","[2.0, 3.0]",0.013001478853569184,0.02909703718524334
445,150,spiral_2,"[1, 1]","[20.0, 25.0]",0.08717131597495861,1.8925469471564607
445,150,spiral_2,"[1, 1]","[40.0, 50.0]",0.5859026812329803,11.051520264806765
445,150,spiral_2,"[2, 2]","[2.0, 3.0]",0.48759069058305443,0.47792593800650185
445,150,spiral_2,"[2, 2]","[20.0, 25.0]",0.40578274630567157,3.0709967660950483
445,150,spiral_2,"[2, 2]","[40.0, 50.0]",1.2342819205922158,13.480567150889794
727,0,square_1,"[0.1, 0.1]","[2.0, 3.0]",0.03478497058137008,-1.0
727,0,square_1,"[0.1, 0.1]","[20.0, 25.0]",0.03478497058137008,-1.0
727,0,square_1,"[0.1, 0.1]","[40.0, 50.0]",0.03478497058137008,-1.0
727,0,square_1,"[0.5, 0.5]","[2.0, 3.0]",0.8761887814890438,-1.0
727,0,square_1,"[0.5, 0.5]","[20.0, 25.0]",0.8761887814890438,-1.0
727,0,square_1,"[0.5, 0.5]","[40.0, 50.0]",0.8761887814890438,-1.0
727,0,square_1,"[1, 1]","[2.0, 3.0]",3.5469669825787973,-1.0
727,0,square_1,"[1, 1]","[20.0, 25.0]",3.5469669825787973,-1.0
727,0,square_1,"[1, 1]","[40.0, 50.0]",3.5469669825787973,-1.0
727,0,square_1,"[2, 2]","[2.0, 3.0]",14.618214663028061,-1.0
727,0,square_1,"[2, 2]","[20.0, 25.0]",14.618214663028061,-1.0
727,0,square_1,"[2, 2]","[40.0, 50.0]",14.618214663028061,-1.0
727,0,square_2,"[0.1, 0.1]","[2.0, 3.0]",0.028951633934272036,-1.0
727,0,square_2,"[0.1, 0.1]","[20.0, 25.0]",0.028951633934272036,-1.0
727,0,square_2,"[0.1, 0.1]","[40.0, 50.0]",0.028951633934272036,-1.0
727,0,square_2,"[0.5, 0.5]","[2.0, 3.0]",0.7174413637356906,-1.0
727,0,square_2,"[0.5, 0.5]","[20.0, 25.0]",0.7174413637356906,-1.0
727,0,square_2,"[0.5, 0.5]","[40.0, 50.0]",0.7174413637356906,-1.0
727,0,square_2,"[1, 1]","[2.0, 3.0]",2.9064706847217674,-1.0
727,0,square_2,"[1, 1]","[20.0, 25.0]",2.9064706847217674,-1.0
727,0,square_2,"[1, 1]","[40.0, 50.0]",2.9064706847217674,-1.0
727,0,square_2,"[2, 2]","[2.0, 3.0]",11.72176715852806,-1.0
727,0,square_2,"[2, 2]","[20.0, 25.0]",11.72176715852806,-1.0
727,0,square_2,"[2, 2]","[40.0, 50.0]",11.72176715852806,-1.0
727,0,spiral_1,"[0.1, 0.1]","[2.0, 3.0]",0.042182772438865895,-1.0
727,0,spiral_1,"[0.1, 0.1]","[20.0, 25.0]",0.042182772438865895,-1.0
727,0,spiral_1,"[0.1, 0.1]","[40.0, 50.0]",0.042182772438865895,-1.0
727,0,spiral_1,"[0.5, 0.5]","[2.0, 3.0]",1.0565378570797137,-1.0
727,0,spiral_1,"[0.5, 0.5]","[20.0, 25.0]",1.0565378570797137,-1.0
727,0,spiral_1,"[0.5, 0.5]","[40.0, 50.0]",1.0565378570797137,-1.0
727,0,spiral_1,"[1, 1]","[2.0, 3.0]",4.228821795083152,-1.0
727,0,spiral_1,"[1, 1]","[20.0, 25.0]",4.228821795083152,-1.0
727,0,spiral_1,"[1, 1]","[40.0, 50.0]",4.228821795083152,-1.0
727,0,spiral_1,"[2, 2]","[2.0, 3.0]",16.92094242240271,-1.0
727,0,spiral_1,"[2, 2]","[20.0, 25.0]",16.92094242240271,-1.0
727,0,spiral_1,"[2, 2]","[40.0, 50.0]",16.92094242240271,-1.0
727,0,spiral_2,"[0.1, 0.1]","[2.0, 3.0]",0.03410684119283833,-1.0
727,0,spiral_2,"[0.1, 0.1]","[20.0, 25.0]",0.03410684119283833,-1.0
727,0,spiral_2,"[0.1, 0.1]","[40.0, 50.0]",0.03410684119283833,-1.0
727,0,spiral_2,"[0.5, 0.5]","[2.0, 3.0]",0.8499370622970372,-1.0
727,0,spiral_2,"[0.5, 0.5]","[20.0, 25.0]",0.8499370622970372,-1.0
727,0,spiral_2,"[0.5, 0.5]","[40.0, 50.0]",0.8499370622970372,-1.0
727,0,spiral_2,"[1, 1]","[2.0, 3.0]",3.3922414384169084,-1.0
727,0,spiral_2,"[1, 1]","[20.0, 25.0]",3.3922414384169084,-1.0
727,0,spiral_2,"[1, 1]","[40.0, 50.0]",3.3922414384169084,-1.0
727,0,spiral_2,"[2, 2]","[2.0, 3.0]",13.466974709866017,-1.0
727,0,spiral_2,"[2, 2]","[20.0, 25.0]",13.466974709866017,-1.0
727,0,spiral_2,"[2, 2]","[40.0, 50.0]",13.466974709866017,-1.0
727,3,square_1,"[0.1, 0.1]","[2.0, 3.0]",0.029741173931893333,0.027757243761969808
727,3,square_1,"[0.1, 0.1]","[20.0, 25.0]",0.05113707949512546,1.33469206605668
727,3,square_1,"[0.1, 0.1]","[40.0, 50.0]",0.053474490092013875,6.900897838098202
727,3,square_1,"[0.5, 0.5]","[2.0, 3.0]",0.5653666363050649,0.31086940086366766
727,3,square_1,"[0.5, 0.5]","[20.0, 25.0]",1.3855517084283346,3.0088222246556238
727,3,square_1,"[0.5, 0.5]","[40.0, 50.0]",1.579108029953264,9.088853655190976
727,3,square_1,"[1, 1]","[2.0, 3.0]",2.42511644654773,1.3338594956075145
727,3,square_1,"[1, 1]","[20.0, 25.0]",2.8432931828311245,2.3019849447700893
727,3,square_1,"[1, 1]","[40.0, 50.0]",4.991003420297329,12.439914168294322
727,3,square_1,"[2, 2]","[2.0, 3.0]",14.570619884968666,6.7612211005833665
727,3,square_1,"[2, 2]","[20.0, 25.0]",17.02657336562071,8.788902770885178
727,3,square_1,"[2, 2]","[40.0, 50.0]",12.504940376365326,17.161774856887046
727,3,square_2,"[0.1, 0.1]","[2.0, 3.0]",0.05819271682386578,0.038986666727412835
727,3,square_2,"[0.1, 0.1]","[20.0, 25.0]",0.09334416544137294,2.031806246640036
