seed,num_landmarks,trajectory_name,u_noise,h_noise,correct_match_count,wrong_match_count,bad_new_creation_count,new_object_match_count
445,50,spiral_2,"[0.1, 0.1]","[2.0, 3.0]",1480,0,6,0
445,50,spiral_2,"[0.1, 0.1]","[20.0, 25.0]",1471,0,15,0
445,50,spiral_2,"[0.1, 0.1]","[40.0, 50.0]",1425,0,61,0
445,50,spiral_2,"[0.5, 0.5]","[2.0, 3.0]",1485,0,4,0
445,50,spiral_2,"[0.5, 0.5]","[20.0, 25.0]",1466,0,23,0
445,50,spiral_2,"[0.5, 0.5]","[40.0, 50.0]",1418,0,71,0
445,50,spiral_2,"[1, 1]","[2.0, 3.0]",1496,0,2,0
445,50,spiral_2,"[1, 1]","[20.0, 25.0]",1480,0,18,0
445,50,spiral_2,"[1, 1]","[40.0, 50.0]",1436,0,62,0
445,50,spiral_2,"[2, 2]","[2.0, 3.0]",1494,0,3,0
445,50,spiral_2,"[2, 2]","[20.0, 25.0]",1483,0,14,0
445,50,spiral_2,"[2, 2]","[40.0, 50.0]",1433,0,64,0
445,150,square_1,"[0.1, 0.1]","[2.0, 3.0]",5154,0,31,0
445,150,square_1,"[0.1, 0.1]","[20.0, 25.0]",5102,0,83,0
445,150,square_1,"[0.1, 0.1]","[40.0, 50.0]",4878,35,272,0
445,150,square_1,"[0.5, 0.5]","[2.0, 3.0]",5139,0,36,0
445,150,square_1,"[0.5, 0.5]","[20.0, 25.0]",5090,0,85,0
445,150,square_1,"[0.5, 0.5]","[40.0, 50.0]",4881,23,271,0
445,150,square_1,"[1, 1]","[2.0, 3.0]",5130,0,36,0
445,150,square_1,"[1, 1]","[20.0, 25.0]",5085,0,81,0
445,150,square_1,"[1, 1]","[40.0, 50.0]",4902,3,261,0
445,150,square_1,"[2, 2]","[2.0, 3.0]",5181,0,49,0
445,150,square_1,"[2, 2]","[20.0, 25.0]",5150,0,80,0
445,150,square_1,"[2, 2]","[40.0, 50.0]",4945,1,284,0
445,150,square_2,"[0.1, 0.1]","[2.0, 3.0]",3598,0,28,0
445,150,square_2,"[0.1, 0.1]","[20.0, 25.0]",3573,0,53,0
445,150,square_2,"[0.1, 0.1]","[40.0, 50.0]",3463,0,163,0
445,150,square_2,"[0.5, 0.5]","[2.0, 3.0]",3646,0,27,0
445,150,square_2,"[0.5, 0.5]","[20.0, 25.0]",3618,0,55,0
445,150,square_2,"[0.5, 0.5]","[40.0, 50.0]",3496,0,177,0
445,150,square_2,"[1, 1]","[2.0, 3.0]",3622,0,35,0
445,150,square_2,"[1, 1]","[20.0, 25.0]",3610,0,47,0
445,150,square_2,"[1, 1]","[40.0, 50.0]",3489,0,168,0
445,150,square_2,"[2, 2]","[2.0, 3.0]",3736,0,52,0
445,150,square_2,"[2, 2]","[20.0, 25.0]",3739,0,49,0
445,150,square_2,"[2, 2]","[40.0, 50.0]",3610,0,178,0
445,150,spiral_1,"[0.1, 0.1]","[2.0, 3.0]",6032,0,38,0
445,150,spiral_1,"[0.1, 0.1]","[20.0, 25.0]",5974,0,96,0
445,150,spiral_1,"[0.1, 0.1]","[40.0, 50.0]",5760,1,309,0
445,150,spiral_1,"[0.5, 0.5]","[2.0, 3.0]",6055,0,43,0
445,150,spiral_1,"[0.5, 0.5]","[20.0, 25.0]",6004,0,94,0
445,150,spiral_1,"[0.5, 0.5]","[40.0, 50.0]",5763,0,335,0
445,150,spiral_1,"[1, 1]","[2.0, 3.0]",6049,0,45,0
445,150,spiral_1,"[1, 1]","[20.0, 25.0]",5996,0,98,0
445,150,spiral_1,"[1, 1]","[40.0, 50.0]",5758,4,332,0
445,150,spiral_1,"[2, 2]","[2.0, 3.0]",5942,0,82,0
445,150,spiral_1,"[2, 2]","[20.0, 25.0]",5924,0,100,0
445,150,spiral_1,"[2, 2]","[40.0, 50.0]",5679,0,345,0
445,150,spiral_2,"[0.1, 0.1]","[2.0, 3.0]",4977,0,39,0
445,150,spiral_2,"[0.1, 0.1]","[20.0, 25.0]",4951,0,65,0
445,150,spiral_2,"[0.1, 0.1]","[40.0, 50.0]",4813,0,203,0
445,150,spiral_2,"[0.5, 0.5]","[2.0, 3.0]",4987,0,30,0
445,150,spiral_2,"[0.5, 0.5]","[20.0, 25.0]",4951,0,66,0
445,150,spiral_2,"[0.5, 0.5]","[40.0, 50.0]",4809,0,208,0
445,150,spiral_2,"[1, 1]","[2.0, 3.0]",4913,0,30,0
445,150,spiral_2,"[1, 1]","[20.0, 25.0]",4877,0,66,0
445,150,spiral_2,"[1, 1]","[40.0, 50.0]",4742,0,201,0
445,150,spiral_2,"[2, 2]","[2.0, 3.0]",4798,0,51,0
445,150,spiral_2,"[2, 2]","[20.0, 25.0]",4785,0,64,0
445,150,spiral_2,"[2, 2]","[40.0, 50.0]",4639,0,210,0
727,0,square_1,"[0.1, 0.1]","[2.0, 3.0]",0,0,0,0
727,0,square_1,"[0.1, 0.1]","[20.0, 25.0]",0,0,0,0
727,0,square_1,"[0.1, 0.1]","[40.0, 50.0]",0,0,0,0
727,0,square_1,"[0.5, 0.5]","[2.0, 3.0]",0,0,0,0
727,0,square_1,"[0.5, 0.5]","[20.0, 25.0]",0,0,0,0
727,0,square_1,"[0.5, 0.5]","[40.0, 50.0]",0,0,0,0
727,0,square_1,"[1, 1]","[2.0, 3.0]",0,0,0,0
