handle_detected_objects_queue,handle_segmentation_queue,update_clock,update_world_model,update_player_model,slam_predict,use_received_yolo_info,use_received_segmentation_info,total
0,0,0,0,2944800,0,14514600,0,17459400
0,2001000,0,0,2997900,0,13032600,20481400,38512900
0,0,0,0,3901100,0,14935000,0,18836100
0,0,0,0,3004100,0,13380800,0,16384900
0,3370100,0,0,3426700,0,0,21655300,28452100
0,0,0,0,2505800,0,12818300,0,15324100
0,1451500,0,0,3955000,0,11009200,16628200,33043900
0,0,0,0,2000200,0,10323100,0,12323300
507700,2009400,0,0,2001500,0,10035300,18543900,33097800
0,0,0,0,3000900,0,22044900,0,25045800
0,2329200,0,0,2485700,0,13126600,21049900,38991400
0,0,0,0,1996800,0,25554500,0,27551300
0,2000200,0,0,2504200,1009100,22719700,26182200,54415400
0,0,0,0,3572300,0,0,0,3572300
0,2000600,0,0,2005400,0,29363600,19469800,52839400
0,0,0,0,2111400,0,20076800,0,22188200
0,2001200,0,0,2999500,0,0,18869000,23869700
0,0,0,0,2007100,997600,26551300,0,30554200
0,2009800,0,0,3005900,0,23547300,21451400,50014400
0,0,0,0,1936800,0,13633800,0,15570600
0,2515800,0,0,3462100,0,27740100,23328200,57046200
0,0,0,0,2429900,1689900,15920500,0,20040300
0,3130300,0,0,3516500,0,0,21192300,28840500
0,0,0,0,2998400,0,24049100,0,27047500
0,1998900,0,0,2998400,0,19520700,19794900,44312900
0,0,0,0,2002900,0,14048500,0,16051400
0,2368600,0,0,2998500,0,14464400,22338400,42169900
505400,0,0,0,3005900,0,15533600,0,19044900
0,0,0,0,2007700,0,0,0,2007700
0,3082900,0,0,1725600,0,20051500,18292100,43152100
0,0,0,0,3007300,0,14700000,0,17707300
0,3009700,0,0,1999500,0,27484000,21372500,53865700
0,0,0,0,2276500,0,14766800,0,17043300
0,4267900,0,0,1999700,0,26437800,21146300,53851700
0,512600,0,0,2052700,1024100,17009300,0,20598700
0,2893400,0,0,2003100,0,14814700,23372200,44082400
0,0,0,0,2873300,0,0,0,2873300
1002700,2150100,0,0,1999900,0,14520000,22663800,43344300
0,0,0,0,2394200,0,0,0,2394200
0,2000400,0,0,2506600,0,16045900,19033000,39585900
0,0,0,0,2452900,0,14343100,0,16796000
0,3003500,0,0,2784100,0,14742700,20856900,41387200
0,0,0,0,1482900,0,18090500,0,19573400
0,1886800,0,0,3530900,0,14719600,23567800,43705100
0,0,0,506500,2010200,0,14520400,0,17037100
