p1,p2
47853700.0,1001200.0
31452500.0,1077600.0
35263300.0,0.0
23826000.0,0.0
19314800.0,0.0
27047300.0,0.0
37149300.0,1081000.0
37410600.0,1004000.0
35243700.0,1423300.0
52828400.0,1008000.0
58840500.0,1000000.0
56188900.0,1001700.0
78924300.0,1251400.0
69967200.0,998800.0
55343100.0,998300.0
50974800.0,0.0
36393100.0,1414000.0
47676800.0,1163100.0
56803800.0,1137300.0
52812300.0,1000800.0
56891500.0,1109800.0
60150400.0,999600.0
67358300.0,1024900.0
58810200.0,1001600.0
62533200.0,1432900.0
52291700.0,1431100.0
61540900.0,1009900.0
64229700.0,1006500.0
60900800.0,1505900.0
71379800.0,999200.0
61641000.0,1196400.0
45262700.0,1172500.0
26578600.0,0.0
,
38545900.0,1001000.0
39415700.0,1010200.0
42615600.0,1013500.0
43889200.0,1090300.0
49443900.0,0.0
57986900.0,999400.0
49513500.0,1000800.0
63619500.0,1007200.0
47205000.0,509000.0
49182600.0,1460300.0
63984400.0,1005900.0
52111300.0,1001900.0
47916400.0,999600.0
60532000.0,1002800.0
66939800.0,1059200.0
74044200.0,1997300.0
71511200.0,1003500.0
65760600.0,0.0
48163800.0,1002100.0
63636400.0,0.0
63261600.0,1304700.0
60582900.0,997400.0
74417900.0,997600.0
65254100.0,1001200.0
69022900.0,0.0
80283100.0,998300.0
71057200.0,1009000.0
67124800.0,0.0
57136300.0,1004800.0
34626200.0,0.0
41270700.0,1489200.0
57621500.0,0.0
63045700.0,1000800.0
60407300.0,1000300.0
51168200.0,998900.0
45274900.0,0.0
72337600.0,1001200.0
60048100.0,998900.0
63439900.0,1274500.0
56299600.0,1205800.0
32615000.0,1000600.0
42614600.0,0.0
47325300.0,1001400.0
50969000.0,1000300.0
53321000.0,1378500.0
45973800.0,998300.0
39571900.0,0.0
35363500.0,0.0
26306400.0,1015600.0
24213000.0,0.0
24705400.0,0.0
24950700.0,0.0
24626200.0,0.0
27836500.0,0.0
24933400.0,0.0
25765300.0,0.0
15045800.0,1000000.0
8535200.0,0.0
6330800.0,1461400.0
9320800.0,0.0
8538000.0,0.0
7688000.0,0.0
7904200.0,1000300.0
9212100.0,0.0
8122400.0,0.0
11687800.0,1002500.0
16537800.0,0.0
22114900.0,0.0
15800000.0,0.0
14875600.0,0.0
15699300.0,0.0
21289400.0,1000000.0
15711800.0,1002400.0
14038100.0,1004300.0
14049300.0,0.0
14612500.0,0.0
17261000.0,1506900.0
16010100.0,1003400.0
13537300.0,1420000.0
16051900.0,1000500.0
20659700.0,1509600.0
28862700.0,1000000.0
29000500.0,0.0
22360600.0,0.0
18074600.0,1002400.0
15735100.0,0.0
14006200.0,1508100.0
12950800.0,0.0
14169600.0,1001600.0
19776900.0,0.0
24730500.0,0.0
21071400.0,0.0
22094300.0,1005400.0
27105100.0,0.0
27974200.0,0.0
29730500.0,1001300.0
20458500.0,0.0
27241800.0,997300.0
28789400.0,0.0
32553800.0,1008000.0
32385700.0,1316100.0
22556400.0,1000700.0
28380000.0,999400.0
22043800.0,1000500.0
24919400.0,0.0
34608600.0,0.0
20383600.0,507400.0
22225300.0,0.0
27558200.0,0.0
26555600.0,1002400.0
22068700.0,0.0
20327700.0,0.0
